U+7DAF	綯
U+7DB5	綵
U+7DC7	緇
U+7DD8	緘
U+7DDE	緞
U+7DE1	緡
U+7DF2	緲
U+7E05	縅
U+7E0A	縊
U+7E0B	縋
U+7E12	縒
U+7E1F	縟
U+7E37	縷
U+7E39	縹
U+7E3A	縺
U+7E43	繃
U+7E59	繙
U+7E5A	繚
U+7E5D	繝
U+7E5E	繞
U+7E67	繧
U+7E7B	繻
U+7E93	纓
U+7E9B	纛
U+7E9C	纜
U+7F3A	缺
U+7F45	罅
U+7F4D	罍
U+7F50	罐
U+7F54	罔
U+7F68	罨
U+7F82	羂
U+7F83	羃
U+7F86	羆
U+7F88	羈
U+7F8C	羌
U+7FB9	羹
U+7FE1	翡
U+8004	耄
U+8012	耒
U+8018	耘
U+803F	耿
U+805F	聟
U+8062	聢
U+8086	肆
U+8093	肓
U+809A	肚
U+80AD	肭
U+80DB	胛
U+80DD	胝
U+80E5	胥
U+80FC	胼
U+8153	腓
U+815F	腟
U+816E	腮
U+8182	膂
U+8183	膃
U+8188	膈
U+818A	膊
U+8195	膕
U+81BA	膺
U+81BE	膾
U+81D1	臑
U+81D9	臙
U+81FE	臾
U+8201	舁
U+8233	舳
U+8240	艀
U+8259	艙
U+825F	艟
U+8264	艤
U+8268	艨
U+826A	艪
U+826B	艫
U+8271	艱
U+827E	艾
U+828D	芍
U+82AC	芬
U+82DF	苟
U+82E3	苣
U+82F3	苳
U+8317	茗
U+8323	茣
U+8334	茴
U+8340	荀
U+8373	荳
U+8393	莓
U+839A	莚
U+839F	莟
U+83A8	莨
U+83CE	菎
U+83E0	菠
U+83F2	菲
U+83F4	菴
U+83FD	菽
U+8435	萵
U+8469	葩
U+846B	葫
U+846D	葭
U+846F	葯
U+8477	葷
U+849F	蒟
U+84A1	蒡
U+84BB	蒻
U+84C6	蓆
U+84D6	蓖
U+84D9	蓙
U+84DA	蓚
U+84F4	蓴
U+8515	蔕
U+8517	蔗
U+8521	蔡
U+852C	蔬
U+8541	蕁
U+8580	薀
U+858A	薊
U+8590	薐
U+8591	薑
U+85B9	薹
U+85BA	薺
U+85C9	藉
U+85DC	藜
U+85F9	藹
U+85FA	藺
U+8602	蘂
U+860A	蘊
U+8616	蘖
U+8617	蘗
U+861A	蘚
U+8671	虱
U+868B	蚋
U+8693	蚓
U+86A3	蚣
U+86AF	蚯
U+86B0	蚰
U+86B6	蚶
U+86C4	蛄
U+86C6	蛆
U+86D4	蛔
U+86DE	蛞
U+86DF	蛟
U+86F9	蛹
U+86FB	蛻
U+8706	蜆
U+8708	蜈
U+8709	蜉
U+870A	蜊
U+870D	蜍
U+8711	蜑
U+8712	蜒
U+871A	蜚
U+8725	蜥
U+8729	蜩
U+8734	蜴
U+8737	蜷
U+873F	蜿
U+874E	蝎
U+8753	蝓
U+8757	蝗
U+8759	蝙
U+875F	蝟
U+8760	蝠
U+8763	蝣
U+8768	蝨
U+876E	蝮
U+8774	蝴
U+8782	螂
U+879F	螟
U+87B3	螳
U+87BB	螻
U+87C0	蟀
U+87C4	蟄
U+87C6	蟆
U+87CB	蟋
U+87E0	蟠
U+87EF	蟯
U+87F6	蟶
U+87F7	蟷
U+87FE	蟾
U+880D	蠍
U+8815	蠕
U+8822	蠢
U+8827	蠧
U+8831	蠱
U+884D	衍
U+8852	衒
U+8862	衢
U+8872	衲
U+8875	衵
U+887E	衾
U+888D	袍
U+8899	袙
U+88B1	袱
U+88C4	裄
U+88D8	裘
U+88D9	裙
U+88E8	裨
U+88F9	裹
U+8904	褄
U+891E	褞
U+892A	褪
U+8936	褶
U+8938	褸
U+893B	褻
U+8960	襠
U+8964	襤
U+896A	襪
U+896F	襯
U+8974	襴
U+8998	覘
U+89A1	覡
U+89AF	覯
U+89BF	覿
U+89DC	觜
U+89F4	觴
U+8A0C	訌
U+8A25	訥
U+8A48	詈
U+8A5B	詛
U+8A6D	詭
U+8A82	誂
U+8A84	誄
U+8A91	誑
U+8AA1	誡
U+8AA3	誣
U+8AA8	誨
U+8AC2	諂
U+8ACD	諍
U+8ADA	諚
U+8ADB	諛
U+8AE1	諡
U+8AF3	諳
U+8B10	謐
U+8B26	謦
U+8B28	謨
U+8B2B	謫
U+8B6B	譫
U+8B6C	譬
U+8B74	譴
U+8B92	讒
U+8B96	讖
U+8C3A	谺
U+8C3F	谿
U+8C48	豈
U+8C4C	豌
U+8C55	豕
U+8C6B	豫
U+8C7A	豺
U+8C89	貉
U+8C8D	貍
U+8C98	貘
U+8CB6	貶
U+8CBD	貽
U+8CC8	賈
U+8CFA	賺
U+8CFB	賻
U+8D0F	贏
U+8D13	贓
U+8D14	贔
U+8D16	贖
U+8D6D	赭
U+8DBA	趺
U+8DCC	跌
U+8DDB	跛
U+8DE3	跣
U+8DEA	跪
U+8DEB	跫
U+8DFC	跼
U+8E1D	踝
U+8E1E	踞
U+8E30	踰
U+8E42	蹂
U+8E49	蹉
U+8E4C	蹌
U+8E50	蹐
U+8E55	蹕
U+8E59	蹙
U+8E60	蹠
U+8E72	蹲
U+8E76	蹶
U+8E7C	蹼
U+8E84	躄
U+8E85	躅
U+8E91	躑
U+8E99	躙
U+8EB1	躱
U+8EBE	躾
U+8EC8	軈
U+8EDB	軛
U+8EEB	軫
U+8EFE	軾
U+8F13	輓
U+8F1B	輛
U+8F1C	輜
U+8F26	輦
U+8F3B	輻
U+8F3E	輾
U+8F42	轂
U+8F45	轅
U+8F46	轆
U+8F4E	轎
U+8F64	轤
U+8F9C	辜
U+8F9F	辟
U+8FA8	辨
U+8FAE	辮
U+8FAF	辯
U+8FB7	辷
