U+67DD	柝
U+67DE	柞
U+67E2	柢
U+67EC	柬
U+67EE	柮
U+67EF	柯
U+6802	栂
U+6829	栩
U+6832	栲
U+6834	栴
U+6846	框
U+684E	桎
U+6859	桙
U+6874	桴
U+6877	桷
U+687E	桾
U+687F	桿
U+6883	梃
U+688F	梏
U+6894	梔
U+689F	梟
U+68A0	梠
U+68AD	梭
U+68B1	梱
U+68B3	梳
U+68BA	梺
U+68C9	棉
U+68CA	棊
U+68CD	棍
U+68D5	棕
U+68D7	棗
U+68E0	棠
U+68E3	棣
U+68E7	棧
U+6908	椈
U+690F	椏
U+6919	椙
U+691A	椚
U+6922	椢
U+6923	椣
U+6928	椨
U+692A	椪
U+6934	椴
U+6936	椶
U+6939	椹
U+693D	椽
U+695D	楝
U+695E	楞
U+696A	楪
U+696B	楫
U+6973	楳
U+6978	楸
U+697E	楾
U+6991	榑
U+6995	榕
U+69A7	榧
U+69B1	榱
U+69BB	榻
U+69BE	榾
U+69C1	槁
U+69CE	槎
U+69D0	槐
U+69D3	槓
U+69E7	槧
U+69E8	槨
U+69ED	槭
U+69F2	槲
U+69FF	槿
U+6A05	樅
U+6A12	樒
U+6A13	樓
U+6A17	樗
U+6A1E	樞
U+6A35	樵
U+6A38	樸
U+6A44	橄
U+6A47	橇
U+6A48	橈
U+6A61	橡
U+6A62	橢
U+6A84	檄
U+6A8D	檍
U+6A90	檐
U+6A97	檗
U+6AA3	檣
U+6AAC	檬
U+6AB3	檳
U+6AB8	檸
U+6AD1	櫑
U+6ADA	櫚
U+6ADE	櫞
U+6AE8	櫨
U+6AEA	櫪
U+6AFA	櫺
U+6B0A	權
U+6B12	欒
U+6B16	欖
U+6B1D	欝
U+6B37	欷
U+6B39	欹
U+6B47	歇
U+6B49	歉
U+6B54	歔
U+6B78	歸
U+6B79	歹
U+6B7F	歿
U+6B83	殃
U+6B84	殄
U+6BAA	殪
U+6BAF	殯
U+6BB1	殱
U+6BB2	殲
U+6BB3	殳
U+6BBC	殼
U+6BCB	毋
U+6BDF	毟
U+6BF3	毳
U+6C08	氈
U+6C13	氓
U+6C1B	氛
U+6C5E	汞
U+6C6A	汪
U+6C7E	汾
U+6C90	沐
U+6C92	沒
U+6C9B	沛
U+6CAE	沮
U+6CB1	沱
U+6CBD	沽
U+6CBE	沾
U+6CDB	泛
U+6CDD	泝
U+6CEA	泪
U+6D0C	洌
U+6D1F	洟
U+6D36	洶
U+6D5A	浚
U+6D63	浣
U+6D8E	涎
U+6D93	涓
U+6D95	涕
U+6D9B	涛
U+6D9C	涜
U+6DC6	淆
U+6DD9	淙
U+6DE4	淤
U+6DE6	淦
U+6DEA	淪
U+6DEC	淬
U+6DEE	淮
U+6DF9	淹
U+6DFA	淺
U+6E0A	渊
U+6E15	渕
U+6E19	渙
U+6E1F	渟
U+6E23	渣
U+6E2B	渫
U+6E38	游
U+6E3A	渺
U+6E43	湃
U+6E4D	湍
U+6E6B	湫
U+6E6E	湮
U+6E72	湲
U+6E82	溂
U+6E8C	溌
U+6E98	溘
U+6E9F	溟
U+6EAA	溪
U+6EAF	溯
U+6EB2	溲
U+6EB7	溷
U+6EBD	溽
U+6EC2	滂
U+6EC4	滄
U+6ECC	滌
U+6ED4	滔
U+6EEC	滬
U+6EF7	滷
U+6EF8	滸
U+6EFE	滾
U+6EFF	滿
U+6F13	漓
U+6F32	漲
U+6F45	潅
U+6F58	潘
U+6F5B	潛
U+6F66	潦
U+6F6D	潭
U+6F78	潸
U+6F7A	潺
U+6F86	澆
U+6F8E	澎
U+6FA4	澤
U+6FB3	澳
U+6FB9	澹
U+6FD8	濘
U+6FDB	濛
U+6FDF	濟
U+6FF3	濳
U+6FF6	濶
U+6FFA	濺
U+7001	瀁
U+7009	瀉
U+700B	瀋
U+700F	瀏
U+7018	瀘
U+701A	瀚
U+701B	瀛
U+701D	瀝
U+701F	瀟
U+7030	瀰
U+7051	灑
U+7063	灣
U+7099	炙
U+70AE	炮
U+70AF	炯
U+70B3	炳
U+70BB	炻
U+70D9	烙
U+70DD	烝
U+70DF	烟
U+70F1	烱
U+70F9	烹
U+70FD	烽
U+7114	焔
U+7119	焙
U+711C	焜
U+7155	煕
U+7156	煖
U+7162	煢
U+7165	煥
U+7166	煦
U+7184	熄
U+718F	熏
U+7195	熕
U+71A8	熨
U+71AC	熬
U+71D4	燔
U+71D7	燗
U+71E0	燠
U+71E7	燧
U+71EC	燬
U+71F9	燹
U+71FB	燻
U+71FC	燼
U+7228	爨
U+7230	爰
U+723B	爻
U+723C	爼
U+723F	爿
U+7240	牀
U+7246	牆
U+7258	牘
U+7274	牴
U+727E	牾
U+7282	犂
U+7287	犇
U+7292	犒
U+72A2	犢
U+72C4	狄
U+72C6	狆
U+72CE	狎
U+72D2	狒
U+72DB	狛
U+72E0	狠
U+72E2	狢
U+72F7	狷
U+730A	猊
U+7316	猖
U+7317	猗
U+731C	猜
U+7329	猩
U+732F	猯
U+7334	猴
U+733E	猾
U+734F	獏
U+7357	獗
U+7368	獨
U+736A	獪
U+7370	獰
U+737A	獺
U+73B3	玳
U+73BB	玻
U+73CE	珎
U+73DE	珞
U+73E5	珥
U+73EE	珮
U+7432	琲
U+743A	琺
U+743F	琿
U+7441	瑁
U+7459	瑙
U+745C	瑜
U+745F	瑟
U+7463	瑣
U+746A	瑪
U+746F	瑯
U+7470	瑰
U+747E	瑾
U+749E	璞
U+74CA	瓊
U+74CF	瓏
U+74D4	瓔
U+74E0	瓠
U+74E3	瓣
U+74E9	瓩
U+74EE	瓮
U+74F2	瓲
U+74F7	瓷
U+7503	甃
U+7504	甄
U+750C	甌
U+750D	甍
U+750E	甎
U+751C	甜
U+751E	甞
U+7538	甸
U+755A	畚
U+756B	畫
U+7576	當
U+7577	畷
U+7578	畸
U+7594	疔
U+759A	疚
U+759D	疝
U+75A3	疣
U+75A5	疥
U+75B3	疳
U+75C2	痂
U+75C3	痃
U+75CD	痍
U+75DE	痞
U+75E3	痣
U+75F2	痲
U+75F3	痳
U+75FC	痼
U+75FE	痾
U+7601	瘁
U+760B	瘋
U+761F	瘟
U+7620	瘠
U+7622	瘢
U+7627	瘧
U+7630	瘰
U+7634	瘴
U+7646	癆
U+7647	癇
U+7648	癈
U+7658	癘
U+765C	癜
U+7661	癡
U+7662	癢
U+7667	癧
U+7669	癩
U+766A	癪
U+7670	癰
U+7672	癲
U+7676	癶
U+7678	癸
U+767C	發
U+7680	皀
U+768E	皎
U+7699	皙
U+76B0	皰
U+76B4	皴
U+76B8	皸
U+76B9	皹
U+76C8	盈
U+76D2	盒
U+76DE	盞
U+76E5	盥
U+76E7	盧
U+76EA	盪
U+7704	眄
U+7707	眇
U+7708	眈
U+7725	眥
U+7726	眦
U+7737	眷
U+7747	睇
U+775B	睛
U+7765	睥
U+777F	睿
U+778B	瞋
U+77A0	瞠
U+77B6	瞶
U+77BB	瞻
U+77BD	瞽
U+77BF	瞿
U+77C7	矇
U+77CD	矍
U+77DA	矚
U+77DC	矜
U+77E7	矧
U+77EE	矮
U+780C	砌
U+7845	硅
U+7874	硴
U+787C	硼
U+788C	碌
U+788D	碍
U+7895	碕
U+78A3	碣
U+78AF	碯
U+78BC	碼
U+78BE	碾
U+78C5	磅
U+78CA	磊
U+78D1	磑
U+78D4	磔
U+78DA	磚
U+78E7	磧
U+78EC	磬
U+7911	礑
U+7912	礒
U+7919	礙
U+7926	礦
U+792A	礪
U+792C	礬
U+7957	祗
U+795A	祚
U+7980	禀
U+79A6	禦
U+79B9	禹
U+79BA	禺
U+79D5	秕
U+79E3	秣
U+79E7	秧
U+7A08	稈
U+7A0D	稍
U+7A20	稠
U+7A31	稱
U+7A37	稷
U+7A46	穆
U+7A50	穐
U+7A61	穡
U+7A7D	穽
U+7A88	窈
U+7A95	窕
U+7A96	窖
U+7A97	窗
U+7A98	窘
U+7AB6	窶
U+7ABF	窿
U+7AC3	竃
U+7AC4	竄
U+7AC5	竅
U+7ACA	竊
U+7ACF	竏
U+7AD3	竓
U+7AD9	站
U+7AED	竭
U+7B04	笄
U+7B06	笆
U+7B0A	笊
